psnr,ssim,dist
0.024351,0.325270,0.557867
0.049956,0.983931,0.017093
0.027539,0.945165,0.046325
0.018763,0.834578,0.117097
0.015715,0.650067,0.217264
0.021952,0.444187,0.331875
0.134096,0.995112,0.008597
0.050959,0.979324,0.026089
0.030248,0.908718,0.073594
0.019570,0.587014,0.200290
0.018288,0.072712,0.629784
0.048922,0.972272,0.067288
0.083782,0.992538,0.024146
1.000000,1.000000,0.000003
0.028058,0.777612,0.102632
0.022885,0.510811,0.240336
0.023294,0.926046,0.069417
0.020988,0.825088,0.163718
0.021953,0.736952,0.177035
0.024329,0.453174,0.378499
0.021873,0.209623,0.622629
0.243540,0.972065,0.035150
0.206446,0.948306,0.054082
0.182097,0.920837,0.084308
0.165388,0.896526,0.097716
0.150960,0.867164,0.121877
0.063667,0.674182,0.117246
0.058591,0.634275,0.128382
0.062352,0.647192,0.149828
0.054043,0.588893,0.178692
0.038151,0.299480,0.413016
0.070142,0.950646,0.042424
0.042789,0.924094,0.054639
0.041589,0.893534,0.073887
0.031640,0.837638,0.127897
0.032427,0.847013,0.117534
0.289198,0.988384,0.070353
0.251025,0.974155,0.161654
0.224136,0.963643,0.188842
0.207305,0.950351,0.252757
0.204866,0.948059,0.218462
0.036867,0.816740,0.209493
0.028601,0.644380,0.334994
0.026075,0.530066,0.425436
0.023796,0.363640,0.556708
0.022427,0.265491,0.662577
0.030452,0.517316,0.253300
0.024585,0.728466,0.154009
0.013922,0.918581,0.072593
0.013922,0.950820,0.077829
0.026916,0.843740,0.176979
1.000000,1.000000,0.000005
0.179446,0.987921,0.030829
0.096328,0.900012,0.141395
0.031403,0.775356,0.344879
0.032355,0.650508,0.515872
0.142287,0.955925,0.066900
0.075776,0.860345,0.177379
0.034945,0.733391,0.364122
0.033899,0.680206,0.426795
0.032929,0.645902,0.485251
1.000000,1.000000,0.000005
0.155903,0.971671,0.044760
0.106632,0.907166,0.131581
0.089119,0.855563,0.232802
0.039352,0.780388,0.364682
0.190420,0.978773,0.096297
0.030772,0.620018,0.406057
0.017179,0.557575,0.461138
0.018267,0.529638,0.518182
0.017273,0.435243,0.621241
0.226183,0.986239,0.017918
0.206499,0.970914,0.143722
0.202176,0.968433,0.190915
0.196836,0.966852,0.215612
0.196288,0.967052,0.220995
0.053180,0.790048,0.111143
0.047078,0.728861,0.137602
0.048258,0.690918,0.177441
0.041202,0.584011,0.269096
0.026276,0.411545,0.386618
0.039150,0.927076,0.241119
0.044764,0.887050,0.340699
0.039013,0.866182,0.399810
0.043848,0.844565,0.456852
0.024700,0.787439,0.438211
1.000000,1.000000,0.000005
0.035837,0.796452,0.248524
0.030157,0.606822,0.381633
0.016995,0.479126,0.481527
0.018251,0.345457,0.556727
0.218187,0.975427,0.034913
0.152598,0.938957,0.116246
0.129020,0.912932,0.155432
0.098412,0.810240,0.293117
0.079937,0.683965,0.447435
0.114183,0.889674,0.133724
0.109570,0.876159,0.145846
0.095374,0.837945,0.229957
0.051201,0.632732,0.584971
0.035450,0.559177,0.682198
0.065465,0.646110,0.198300
0.047681,0.486789,0.268997
0.040681,0.393354,0.314051
0.033867,0.279201,0.375653
0.027419,0.149240,0.437323
0.108061,0.823185,0.085782
0.050521,0.512340,0.259783
0.038452,0.353751,0.344373
0.030613,0.212161,0.396750
0.027295,0.142631,0.454871
0.431340,0.968397,0.074818
0.334176,0.842659,0.215964
0.295080,0.716110,0.291198
0.253393,0.515154,0.365064
0.229941,0.382504,0.407286
0.130765,0.881937,0.065167
0.055390,0.637102,0.244325
0.040108,0.488046,0.307732
0.031822,0.332446,0.365788
0.024273,0.155606,0.462263
0.085992,0.742905,0.234236
0.057615,0.626736,0.329853
0.049370,0.543528,0.382559
0.038395,0.329221,0.500859
0.030794,0.212188,0.586167
0.004459,0.992487,0.017983
0.018504,0.974373,0.052320
0.020998,0.917890,0.145810
0.004909,0.798765,0.325698
0.042078,0.557670,0.524915
0.091001,0.997893,0.005245
